date,transaction_id,description,debit_account,credit_account,amount
2025-05-01,P001,Owner startup investment,Cash,Owner's Capital,5500.00
2025-05-02,P002,Planning equipment purchased,Equipment,Cash,1200.00
2025-05-03,P003,Client deposit received for future event,Cash,Unearned Revenue,1000.00
2025-05-05,P004,Venue planning fee billed,Accounts Receivable,Service Revenue,1800.00
2025-05-06,P005,Design software paid,Software Expense,Cash,95.00
2025-05-08,P006,Assistant wages paid,Wages Expense,Cash,650.00
2025-05-10,P007,Venue planning invoice collected,Cash,Accounts Receivable,1800.00
2025-05-12,P008,Event service completed from deposit,Unearned Revenue,Service Revenue,1000.00
2025-05-14,P009,Studio rent paid,Rent Expense,Cash,700.00
2025-05-16,P010,New event package paid in cash,Cash,Service Revenue,1500.00
2025-05-18,P011,Advertising paid,Advertising Expense,Cash,250.00
2025-05-20,P012,Utilities paid,Utilities Expense,Cash,140.00
