date,transaction_id,description,debit_account,credit_account,amount
2025-04-01,T001,Owner startup investment,Cash,Owner's Capital,4000.00
2025-04-02,T002,Teaching equipment purchased,Equipment,Cash,900.00
2025-04-03,T003,Monthly room rent paid,Rent Expense,Cash,650.00
2025-04-05,T004,Private lessons paid in cash,Cash,Service Revenue,1200.00
2025-04-06,T005,School workshop billed,Accounts Receivable,Service Revenue,1500.00
2025-04-08,T006,Tutor wages paid,Wages Expense,Cash,700.00
2025-04-10,T007,Scheduling software paid,Software Expense,Cash,80.00
2025-04-12,T008,School workshop invoice collected,Cash,Accounts Receivable,1500.00
2025-04-14,T009,Future lesson package deposit received,Cash,Unearned Revenue,600.00
2025-04-16,T010,Private lessons paid in cash,Cash,Service Revenue,1350.00
2025-04-18,T011,Advertising paid,Advertising Expense,Cash,200.00
2025-04-20,T012,Tutor wages paid,Wages Expense,Cash,750.00
